date,lineage,value,lower,upper
2020-09-05,A,36.294003868471954,14.120035369984166,93.059266238617
2020-09-05,B.1.1.529,0,0,34.77063953009747
2020-09-05,B.1.1.7,0,0,34.77063953009747
2020-09-05,B.1.177,3221.092843326886,2936.490153974102,3524.5492450231977
2020-09-05,B.1.617.2,0,0,34.77063953009747
2020-09-05,AY.4.2,0,0,34.77063953009747
2020-09-12,A,9.497777777777777,1.6766501729669399,53.70051322904531
2020-09-12,B.1.1.529,0,0,36.41757582257777
2020-09-12,B.1.1.7,0,0,36.41757582257777
2020-09-12,B.1.177,5537.204444444445,5165.909450488884,5923.947684144001
2020-09-12,B.1.617.2,0,0,36.41757582257777
2020-09-12,AY.4.2,0,0,36.41757582257777
2020-09-19,A,0,0,70.23271074007957
2020-09-19,B.1.1.529,0,0,70.23271074007957
2020-09-19,B.1.1.7,0,0,70.23271074007957
2020-09-19,B.1.177,7848.466876971609,7255.483748249287,8464.270097827144
2020-09-19,B.1.617.2,0,0,70.23271074007957
2020-09-19,AY.4.2,0,0,70.23271074007957
2020-09-26,A,0,0,51.12888887890431
2020-09-26,B.1.1.529,0,0,51.12888887890431
2020-09-26,B.1.1.7,26.654481546572935,7.310270023788359,97.05569598850239
2020-09-26,B.1.177,15352.98137082601,14674.35942138723,16041.325896322254
2020-09-26,B.1.617.2,0,0,51.12888887890431
2020-09-26,AY.4.2,0,0,51.12888887890431
2020-10-03,A,0,0,123.95646560400573
2020-10-03,B.1.1.529,0,0,123.95646560400573
2020-10-03,B.1.1.7,64.65583456425406,17.733318800083843,235.29068699967962
2020-10-03,B.1.177,26541.22008862629,25153.025311394555,27953.15640456801
2020-10-03,B.1.617.2,0,0,123.95646560400573
2020-10-03,AY.4.2,0,0,123.95646560400573
2020-10-10,A,0,9.855517188183426e-15,101.89835776737696
2020-10-10,B.1.1.529,0,9.855517188183426e-15,101.89835776737696
2020-10-10,B.1.1.7,26.554712576597606,4.687607248881656,150.2607077068423
2020-10-10,B.1.177,51064.7122847972,49547.308598286545,52569.65743267217
2020-10-10,B.1.617.2,0,9.855517188183426e-15,101.89835776737696
2020-10-10,AY.4.2,0,9.855517188183426e-15,101.89835776737696
2020-10-17,A,0,5.357298655889084e-15,91.28276838590254
2020-10-17,B.1.1.529,0,5.357298655889084e-15,91.28276838590254
2020-10-17,B.1.1.7,118.91800913681173,50.80439092474414,278.09491324287063
2020-10-17,B.1.177,59791.97499398894,58313.128293101676,61251.748666329106
2020-10-17,B.1.617.2,0,5.357298655889084e-15,91.28276838590254
2020-10-17,AY.4.2,0,5.357298655889084e-15,91.28276838590254
2020-10-24,A,0,0,95.2423631231091
2020-10-24,B.1.1.529,0,0,95.2423631231091
2020-10-24,B.1.1.7,620.2746286161063,420.42553127096136,914.4352606722892
2020-10-24,B.1.177,78973.36571540266,77275.89015098222,80647.57056952134
2020-10-24,B.1.617.2,0,0,95.2423631231091
2020-10-24,AY.4.2,0,0,95.2423631231091
2020-10-31,A,0,0,154.53547593653485
2020-10-31,B.1.1.529,0,0,154.53547593653485
2020-10-31,B.1.1.7,1047.1459627329193,715.3747762232654,1530.9570212198846
2020-10-31,B.1.177,85825.69409937889,83682.62631845627,87918.75381634937
2020-10-31,B.1.617.2,0,0,154.53547593653485
2020-10-31,AY.4.2,0,0,154.53547593653485
2020-11-07,A,0,0,86.46257346326396
2020-11-07,B.1.1.529,0,0,86.46257346326396
2020-11-07,B.1.1.7,2972.7264061010483,2510.8010394039807,3517.487698756724
2020-11-07,B.1.177,96073.11248808389,94421.65950708494,97693.8213891002
2020-11-07,B.1.617.2,0,0,86.46257346326396
2020-11-07,AY.4.2,0,0,86.46257346326396
2020-11-14,A,0,0,79.09201958785282
2020-11-14,B.1.1.529,0,0,79.09201958785282
2020-11-14,B.1.1.7,11514.77216205375,10629.827410466649,12466.985844861378
2020-11-14,B.1.177,101882.04492579223,100217.23306765348,103521.33879445838
2020-11-14,B.1.617.2,0,0,79.09201958785282
2020-11-14,AY.4.2,0,0,79.09201958785282
2020-11-21,A,51.812444444444445,14.209530174983565,188.76342624515343
2020-11-21,B.1.1.529,0,6.31431558214734e-15,99.43645549168515
2020-11-21,B.1.1.7,9844.364444444445,8938.091783866572,10833.279848030965
2020-11-21,B.1.177,78625.38444444444,77012.55438372286,80203.52223069448
2020-11-21,B.1.617.2,0,6.31431558214734e-15,99.43645549168515
2020-11-21,AY.4.2,0,6.31431558214734e-15,99.43645549168515
2020-11-28,A,32.194546794399415,5.683240594491121,182.1185950974785
2020-11-28,B.1.1.529,0,0,123.50375444985461
2020-11-28,B.1.1.7,15131.436993367723,13928.101308465488,16415.500629778446
2020-11-28,B.1.177,55084.86956521739,53483.04879394998,56654.47196575875
2020-11-28,B.1.617.2,0,0,123.50375444985461
2020-11-28,AY.4.2,0,0,123.50375444985461
2020-12-05,A,0,1.85395197136668e-14,324.55614812388075
2020-12-05,B.1.1.529,0,1.85395197136668e-14,324.55614812388075
2020-12-05,B.1.1.7,31377.974308300396,28879.455833887205,33963.72526521329
2020-12-05,B.1.177,42487.473320158104,39850.34265366795,45127.81106321076
2020-12-05,B.1.617.2,0,1.85395197136668e-14,324.55614812388075
2020-12-05,AY.4.2,0,1.85395197136668e-14,324.55614812388075
2020-12-12,A,157.47421481194263,76.29839929319392,324.77316741276627
2020-12-12,B.1.1.529,0,0,86.35753131208055
2020-12-12,B.1.1.7,47759.67972082202,46209.46762003416,49325.16093145026
2020-12-12,B.1.177,53473.74408685537,51899.21969193537,55055.03242955553
